AnnouncementID,AnnouncementTitle,EffectiveDate,DocumentLink,IsCurrent,AcknowledgedBy
KPI-2024,SHE002/2567 กําหนดหัวข้อ เป้าหมาย และดัชนี้ชี้วัดการบรรลุผลการดําเนินงานด้านความปลอดภัย ปี 2024,2024-01-12,https://lh3.googleusercontent.com/d/1kfSSGMOgNtz9XaTBhM6D-ERrrQRX8y9V,1,"[""Sattaya Wongchomphu""]"
KPI-2025,SHE001/2568 กําหนดหัวข้อ เป้าหมาย และดัชนี้ชี้วัดการบรรลุผลการดําเนินงานด้านความปลอดภัย ปี 2025,2025-01-17,https://lh3.googleusercontent.com/d/1WjKVhh2YsQZDVd71PaUTk59Xvp1vbUGa,0,"[""Sattaya Wongchomphu""]"
